test_id,group_id,group_name,group_type,smiles,formula,inchi,python_success,python_groups,python_n_groups,python_error
1,25,Specificity test for group 25,Specificity,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)I)C(F)(F)C(F)(F)F,C10F21I,"InChI=1S/C10F21I/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,10(30,31)32)4(13,14)9(27,28)29",True,"[21, 25, 42, 48]",4,
2,31,Specificity test for group 31,Specificity,FC(F)(F)OC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F22O,"InChI=1S/C10F22O/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,33-10(30,31)32)4(13,14)9(27,28)29",True,"[17, 23, 31, 48]",4,
3,16,Specificity test for group 16,Specificity,FC(F)(F)OC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(OC(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H4F22O2,"InChI=1S/C10F22O2/c11-3(12,7(21,22)23)1(5(15,16)17,33-9(27,28)29)2(6(18,19)20,34-10(30,31)32)4(13,14)8(24,25)26",True,"[16, 17, 23, 31, 48]",5,
4,26,Specificity test for group 26,Specificity,O=S(=O)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10F22O2S,"InChI=1S/C10F22O2S/c11-3(12,8(24,25)26)1(5(15,16)17,6(18,19)20)2(7(21,22)23,4(13,14)9(27,28)29)10(30,31)35(32,33)34",True,"[23, 26, 48]",3,
5,24,Specificity test for group 24,Specificity,FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10F23N,"InChI=1S/C10F23N/c11-1(12,3(15,16)5(18,19)20)2(13,14)4(17,6(21,22)23)34(9(30,31)7(24,25)26)10(32,33)8(27,28)29",True,"[24, 47, 48]",3,
6,24,Specificity test for group 24,Specificity,FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10F23N,"InChI=1S/C10F23N/c11-2(12,5(19,20)21)1(3(13,14)15,4(16,17)18)8(28,29)34(9(30,31)6(22,23)24)10(32,33)7(25,26)27",True,"[24, 47, 48]",3,
7,29,Specificity test for group 29,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(C(O)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F20O,"InChI=1S/C10H2F20O/c11-1(3(12,13)14)2(6(17,18)19,7(20,21)22)4(8(23,24)25,10(29,30)31)5(15,16)9(26,27)28/h1,31H",True,"[29, 48]",2,
8,31,Specificity test for group 31,Specificity,[H]C(F)(F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H4F20O,"InChI=1S/C10H2F20O/c11-1(5(14,15)16)3(7(19,20)21,8(22,23)24)4(2(12)13,31-10(28,29)30)6(17,18)9(25,26)27/h1-2H",True,"[17, 31, 48]",3,
9,17,Specificity test for group 17,Specificity,[H]C(F)(F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(OC(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H6F20O2,"InChI=1S/C10H2F20O2/c11-1(5(14,15)16)3(7(19,20)21,31-9(25,26)27)4(2(12)13,32-10(28,29)30)6(17,18)8(22,23)24/h1-2H",True,"[17, 31, 48]",3,
10,31,Specificity test for group 31,Specificity,[H]C(F)(F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(OC(F)(F)F)(C(F)(F)F)C([H])(F)C(F)(F)F,C10H6F20O2,"InChI=1S/C10H2F20O2/c11-1(5(14,15)16)3(7(19,20)21,31-9(25,26)27)4(2(12)13,32-10(28,29)30)6(17,18)8(22,23)24/h1-2H",True,"[17, 31, 48]",3,
11,14,Specificity test for group 14,Specificity,OC(F)(F)C(C(O)(F)F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C10H2F20O2,"InChI=1S/C10H2F20O2/c11-3(12,7(21,22)23)1(5(15,16)17,6(18,19)20)2(9(27,28)31,10(29,30)32)4(13,14)8(24,25)26/h31-32H",True,"[14, 29, 48]",3,
12,7,Specificity test for group 7,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H4F20O4S,"InChI=1S/C10H2F20O4S/c11-1(3(12,13)14)2(6(17,18)19,7(20,21)22)4(34-10(28,29)30,5(15,16)8(23,24)25)9(26,27)35(31,32)33/h1H,(H,31,32,33)",True,"[7, 10, 31, 36, 48]",5,
13,10,Specificity test for group 10,Specificity,[H]C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(OC(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(=O)O,C10H4F20O4S,"InChI=1S/C10H2F20O4S/c11-1(3(12,13)14)2(6(17,18)19,7(20,21)22)4(34-10(28,29)30,5(15,16)8(23,24)25)9(26,27)35(31,32)33/h1H,(H,31,32,33)",True,"[7, 10, 31, 36, 48]",5,
