Name,SMILES,CAS,Category
Perfluorooctanoic acid (PFOA),C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,335-67-1,PFCA
Perfluorooctanesulfonic acid (PFOS),C(C(C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,1763-23-1,PFSA
GenX (HFPO-DA),C(C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F)(=O)O,13252-13-6,PFECA
6:2 Fluorotelomer alcohol,C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)CCO,647-42-7,FTOH
Perfluorohexanoic acid (PFHxA),C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,307-24-4,PFCA
Perfluorobutanoic acid (PFBA),C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,375-22-4,PFCA
Perfluorohexane sulfonic acid (PFHxS),C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(F)(F)F,355-46-4,PFSA
8:2 Fluorotelomer alcohol,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)CCCO,678-39-7,FTOH
Perfluorononanoic acid (PFNA),C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,375-95-1,PFCA
Perfluorodecanoic acid (PFDA),C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,335-76-2,PFCA
